id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kekuatan_sinyal,jumlah_desa,satuan,tahun
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,SINYAL KUAT,330,DESA,2020
2,32,JAWA BARAT,3201,KABUPATEN BOGOR,SINYAL LEMAH,84,DESA,2020
3,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK ADA SINYAL,2,DESA,2020
4,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SINYAL KUAT,267,DESA,2020
5,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SINYAL LEMAH,112,DESA,2020
6,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK ADA SINYAL,2,DESA,2020
7,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SINYAL KUAT,244,DESA,2020
8,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SINYAL LEMAH,106,DESA,2020
9,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK ADA SINYAL,4,DESA,2020
10,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SINYAL KUAT,232,DESA,2020
11,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SINYAL LEMAH,37,DESA,2020
12,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TIDAK ADA SINYAL,1,DESA,2020
13,32,JAWA BARAT,3205,KABUPATEN GARUT,SINYAL KUAT,292,DESA,2020
14,32,JAWA BARAT,3205,KABUPATEN GARUT,SINYAL LEMAH,122,DESA,2020
15,32,JAWA BARAT,3205,KABUPATEN GARUT,TIDAK ADA SINYAL,7,DESA,2020
16,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SINYAL KUAT,248,DESA,2020
17,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SINYAL LEMAH,100,DESA,2020
18,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,TIDAK ADA SINYAL,3,DESA,2020
19,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SINYAL KUAT,203,DESA,2020
20,32,JAWA BARAT,3207,KABUPATEN CIAMIS,SINYAL LEMAH,54,DESA,2020
21,32,JAWA BARAT,3207,KABUPATEN CIAMIS,TIDAK ADA SINYAL,1,DESA,2020
22,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SINYAL KUAT,306,DESA,2020
23,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,SINYAL LEMAH,53,DESA,2020
24,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,TIDAK ADA SINYAL,2,DESA,2020
25,32,JAWA BARAT,3209,KABUPATEN CIREBON,SINYAL KUAT,386,DESA,2020
26,32,JAWA BARAT,3209,KABUPATEN CIREBON,SINYAL LEMAH,25,DESA,2020
27,32,JAWA BARAT,3209,KABUPATEN CIREBON,TIDAK ADA SINYAL,1,DESA,2020
28,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SINYAL KUAT,287,DESA,2020
29,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,SINYAL LEMAH,42,DESA,2020
30,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,TIDAK ADA SINYAL,1,DESA,2020
31,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SINYAL KUAT,222,DESA,2020
32,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,SINYAL LEMAH,46,DESA,2020
33,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,TIDAK ADA SINYAL,2,DESA,2020
34,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SINYAL KUAT,293,DESA,2020
35,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,SINYAL LEMAH,16,DESA,2020
36,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,TIDAK ADA SINYAL,0,DESA,2020
37,32,JAWA BARAT,3213,KABUPATEN SUBANG,SINYAL KUAT,220,DESA,2020
38,32,JAWA BARAT,3213,KABUPATEN SUBANG,SINYAL LEMAH,25,DESA,2020
39,32,JAWA BARAT,3213,KABUPATEN SUBANG,TIDAK ADA SINYAL,0,DESA,2020
40,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SINYAL KUAT,158,DESA,2020
41,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,SINYAL LEMAH,24,DESA,2020
42,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,TIDAK ADA SINYAL,1,DESA,2020
43,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SINYAL KUAT,246,DESA,2020
44,32,JAWA BARAT,3215,KABUPATEN KARAWANG,SINYAL LEMAH,50,DESA,2020
45,32,JAWA BARAT,3215,KABUPATEN KARAWANG,TIDAK ADA SINYAL,1,DESA,2020
46,32,JAWA BARAT,3216,KABUPATEN BEKASI,SINYAL KUAT,160,DESA,2020
47,32,JAWA BARAT,3216,KABUPATEN BEKASI,SINYAL LEMAH,20,DESA,2020
48,32,JAWA BARAT,3216,KABUPATEN BEKASI,TIDAK ADA SINYAL,0,DESA,2020
49,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SINYAL KUAT,146,DESA,2020
50,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,SINYAL LEMAH,19,DESA,2020
51,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TIDAK ADA SINYAL,0,DESA,2020
52,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SINYAL KUAT,58,DESA,2020
53,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,SINYAL LEMAH,35,DESA,2020
54,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TIDAK ADA SINYAL,0,DESA,2020
55,32,JAWA BARAT,3279,KOTA BANJAR,SINYAL KUAT,16,DESA,2020
56,32,JAWA BARAT,3279,KOTA BANJAR,SINYAL LEMAH,0,DESA,2020
57,32,JAWA BARAT,3279,KOTA BANJAR,TIDAK ADA SINYAL,0,DESA,2020
58,32,JAWA BARAT,3201,KABUPATEN BOGOR,SINYAL KUAT,352,DESA,2021
59,32,JAWA BARAT,3201,KABUPATEN BOGOR,SINYAL LEMAH,63,DESA,2021
60,32,JAWA BARAT,3201,KABUPATEN BOGOR,TIDAK ADA SINYAL,1,DESA,2021
61,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SINYAL KUAT,267,DESA,2021
62,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,SINYAL LEMAH,111,DESA,2021
63,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,TIDAK ADA SINYAL,3,DESA,2021
64,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SINYAL KUAT,242,DESA,2021
65,32,JAWA BARAT,3203,KABUPATEN CIANJUR,SINYAL LEMAH,109,DESA,2021
66,32,JAWA BARAT,3203,KABUPATEN CIANJUR,TIDAK ADA SINYAL,3,DESA,2021
67,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SINYAL KUAT,237,DESA,2021
68,32,JAWA BARAT,3204,KABUPATEN BANDUNG,SINYAL LEMAH,33,DESA,2021
69,32,JAWA BARAT,3204,KABUPATEN BANDUNG,TIDAK ADA SINYAL,0,DESA,2021
70,32,JAWA BARAT,3205,KABUPATEN GARUT,SINYAL KUAT,300,DESA,2021
71,32,JAWA BARAT,3205,KABUPATEN GARUT,SINYAL LEMAH,114,DESA,2021
72,32,JAWA BARAT,3205,KABUPATEN GARUT,TIDAK ADA SINYAL,7,DESA,2021
73,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,SINYAL KUAT,250,DESA,2021
